player_id,season,club_id,appearances,goals,assists,minutes,yellow,red,avg_rating,awards
2001,2023/24,501,34,22,8,2900,2,0,7.45,"Premier League Golden Boot 2023/24"
2001,2024/25,501,30,18,10,2700,3,0,7.30,
2001,2025/26,501,12,6,4,900,1,0,7.10,
2002,2023/24,502,38,36,6,3300,4,0,7.60,"Premier League Golden Boot 2023/24"
2002,2024/25,502,36,32,5,3120,3,0,7.55,
2002,2025/26,502,10,8,2,760,1,0,7.20,
2003,2023/24,502,32,8,14,2800,2,0,7.40,
2003,2024/25,502,30,7,16,2700,3,0,7.35,
2004,2023/24,503,38,12,9,3200,3,0,7.10,
2004,2024/25,503,34,10,11,3000,4,0,7.15,
2005,2023/24,504,36,15,12,3100,5,0,7.20,
2005,2024/25,504,32,13,10,2900,4,0,7.05,
