player_id,season,club_id,appearances,goals,assists,minutes,yellow,red,avg_rating,awards
4001,2023/24,701,34,22,6,2800,4,0,7.40,
4001,2024/25,701,36,25,7,3050,3,0,7.55,
4001,2025/26,701,16,11,3,1200,2,0,7.25,
4002,2023/24,702,36,20,9,3000,5,0,7.35,
4002,2024/25,702,34,18,8,2850,4,0,7.30,
4003,2023/24,703,38,16,11,3200,3,0,7.45,
4003,2024/25,703,35,14,12,3000,4,0,7.40,
4004,2023/24,704,30,8,6,2400,6,0,7.00,
4004,2024/25,704,28,7,7,2200,5,0,6.95,
4005,2023/24,705,32,12,10,2700,4,0,7.10,
4005,2024/25,705,30,10,9,2600,3,0,7.05,
